sleeper_id,full_name,position,fantasy_positions,active,status,team,injury_status,years_exp,gsis_id
1523,Josh Boyd,DT,DL,False,Inactive,,,7.0,
11134,Kaleb Hayes,CB,DB,True,Active,,,2.0,
11304,E.J. Jenkins,TE,TE,True,Active,PHI,,3.0,
8502,Cade Mays,OL,OL,True,Active,DET,IR,4.0,
10940,Nick Herbig,LB,DL|LB,True,Active,PIT,,3.0,
5534,Elijah Campbell,DB,DB,True,Active,NYG,,8.0,00-0034248
4746,Ryan Reid,CB,DB,True,Active,,,5.0,
7970,Ar'Darius Washington,DB,DB,True,Active,NYG,,5.0,
19,Joe Flacco,QB,QB,True,Active,CIN,,18.0,00-0026158
12329,Cade Beresford,OL,OL,True,Active,,,1.0,
5296,Elijah Wellman,FB,TE,True,Active,,,4.0,00-0034119
7782,Isaiah McDuffie,LB,LB,True,Active,GB,,5.0,
2782,Dominique Davis,DE,DL,True,Active,,,10.0,
12301,Treylen Brown,C,,True,Active,,,1.0,
11279,Chim Okorafor,OT,OT,True,Active,,,1.0,
13352,Lincoln Pare,RB,RB,True,Active,,Questionable,0.0,
4216,Desmond King,DB,DB,True,Active,,,8.0,00-0033566
2160,Zac Kerin,G,OL,False,Inactive,,,8.0,00-0030937
4363,Demetrious Cox,SS,DB,False,Inactive,,,5.0,00-0033339
13567,VJ Payne,DB,DB,True,Active,NYJ,IR,0.0,
3837,Kenneth Durden,CB,DB,False,Inactive,,,6.0,00-0032931
10941,Tyler Lacy,DE,DL,True,Active,DET,,3.0,
11756,Hunter Nourzad,OL,OL,True,Active,KC,,2.0,
3466,Andrew Williamson,SS,DB,True,Active,,,6.0,
1009,Bryan Walters,WR,WR,False,Injured Reserve,,,10.0,
10970,Henry To'oTo'o,LB,LB,True,Active,HOU,,3.0,
8609,Hauati Pututau,DT,DL,True,Active,,,1.0,
2678,Ray Drew,DE,DL,True,Active,,,10.0,
12967,Jacolby George,WR,WR,True,Active,,,1.0,
3865,Chris Edwards,DB,DB,True,Inactive,,,6.0,00-0033022
4553,Dieugot Joseph,OT,OL,False,Inactive,,,5.0,00-0033636
3053,Shane McDermott,G,OL,False,Inactive,,,1.0,
14017,Brett Weaver,TE,TE,True,Active,,,0.0,
1524,Kevin Dorsey,WR,WR,False,Inactive,,,2.0,
1250,Will Johnson,TE,RB|TE,False,Inactive,,,8.0,
11129,Nic Melsop,T,OL,True,Active,,,2.0,
7246,Drake Dorbeck,T,OL,True,Active,,,2.0,
2519,Neal Sterling,TE,TE,False,Inactive,,,7.0,00-0032120
6624,Joshua Simmons,CB,DB,True,Active,,,3.0,00-0035056
13228,Ife Adeyi,WR,WR,True,Active,,,1.0,
2721,Chris Harper,WR,WR,False,Inactive,,,5.0,
6459,Sean Modster,WR,WR,True,Active,,,3.0,00-0035114
12264,Cole Beck,WR,WR,True,Active,,,1.0,
2735,Thurston Armbrister,LB,LB,False,Inactive,,,7.0,00-0031729
