yprr,weighted_opportunity,aging_curve_position,feature_season,route_participation,total_points_t,dakota,air_yards_share,ppg_t_minus_1,ppg_t,is_dual_threat,age,pass_attempts,cpoe,dropback_count,depth_chart_position,games_t,snap_share_t_minus_1,target_share_nfl,snap_share,ppg_t_minus_2,epa_per_dropback,player_id,team,tprr,aging_curve_value,position,avg_ppg_t1_t2
,0.0,,2024,,0.78,,0.0,,0.195,False,38.0,3,37.2974619269371,,QB,4,,0.0,0.09833333333333333,0.9300000000000002,-0.6032451703213155,00-0026300,BAL,,0.6,QB,8.126666666666667
,0.0,,2018,,212.18,,0.0,,13.26125,False,30.0,555,-1.609643099305985,,QB,16,,0.0,0.980625,,0.46346452411619565,00-0026498,DET,,0.999,QB,18.552500000000002
,0.0,,2019,,166.56,,0.0,13.26125,20.82,False,31.0,291,2.252688070948511,,QB,8,0.980625,0.0,1.0,,8.582686473673752,00-0026498,DET,,1.0,QB,18.22488095238095
,0.004828409113750112,,2020,,260.56,,0.0030643513789581204,20.82,16.285,False,32.0,528,-1.5773420169855616,,QB,16,1.0,0.0017889087656529517,0.915,13.26125,3.503681143364046,00-0026498,DET,,1.0,QB,16.103492063492062
,0.002584919315102242,,2021,,423.46,,0.0007891414141414141,16.285,20.164761904761903,False,33.0,741,1.760677653946078,,QB,21,0.915,0.0013550135501355014,0.9833333333333333,20.82,7.940064621718136,00-0026498,LA,,1.0,QB,14.32673611111111
,0.0,,2022,,108.38000000000001,,0.0,20.164761904761903,12.042222222222223,False,34.0,303,-0.14821639675803483,,QB,9,0.9833333333333333,0.0,0.9522222222222223,16.285,-2.670816312833528,00-0026498,LA,,0.92,QB,15.258402777777778
,0.0,,2023,,265.78,,0.0,12.042222222222223,16.61125,False,35.0,557,-1.9698754322422167,,QB,16,0.9522222222222223,0.0,0.9775,20.164761904761903,4.547947659475515,00-0026498,LA,,0.84,QB,17.235777777777777
,0.0,,2024,,250.3,,0.0,16.61125,13.905555555555557,False,36.0,588,-0.767807426179565,,QB,18,0.9775,0.0,1.0,12.042222222222223,2.3289081170297425,00-0026498,LA,,0.76,QB,20.566
,0.0019009092217637461,,2018,,30.700000000000003,,-0.0012234910277324632,,7.675000000000001,False,32.0,76,4.198723410824811,,QB,4,,0.001838235294117647,,,-2.887015985992952,00-0026544,CHI,,1.0,QB,5.8533333333333335
,0.0,,2019,,26.000000000000004,,0.0,7.675000000000001,8.666666666666668,False,33.0,64,-13.378577099906074,,QB,3,,0.0,,,1.5712936318166377,00-0026544,CHI,,1.0,QB,1.42
