snap_share_t_minus_1,cpoe,player_id,route_participation,aging_curve_position,ppg_t,depth_chart_position,tprr,total_points_t,ppg_t_minus_2,dakota,air_yards_share,aging_curve_value,target_share_nfl,yprr,epa_per_dropback,dropback_count,team,feature_season,weighted_opportunity,age,is_dual_threat,ppg_t_minus_1,pass_attempts,snap_share,games_t,position,avg_ppg_t1_t2,training_eligible,outcome_returned,ppg_t_minus_1_available,ppg_t_minus_2_available,snap_share_t_minus_1_available,te_role_is_risk_profile,ngs_completion_percentage_above_expectation,ngs_avg_time_to_throw,ngs_avg_separation,ngs_avg_cushion,ngs_rush_yards_over_expected_per_att,ngs_percent_attempts_gte_eight_defenders
,,00-0025396,,WR,9.814285714285715,WR,,68.7,,,0.16260162601626016,0.4,0.07465277777777778,,,,NO,2018,0.22580030487804875,33.0,False,,,0.5571428571428572,7,WR,3.471875,True,True,False,False,False,,,,,,,
0.5571428571428572,,00-0025396,0.7056145675265554,WR,5.54375,WR,0.12473118279569892,88.7,,,0.24601132269686052,0.28,0.09982788296041308,0.9440860215053763,,,NO,2019,0.321949750328422,34.0,False,9.814285714285715,,0.5711764705882354,16,WR,1.4,True,True,True,False,True,,,,2.761898275965144,6.957142857142858,,
0.5711764705882354,,00-0025396,0.05815602836879433,WR,1.4,WR,0.14634146341463414,7.0,9.814285714285715,,0.024166167365688038,0.16,0.00964630225080386,0.975609756097561,,,CHI,2020,0.03138577053218741,35.0,False,5.54375,,0.15166666666666667,5,WR,,False,False,True,True,True,,,,,,,
,,00-0025399,,RB,13.166666666666666,RB,,79.0,,,-0.0016357688113413304,0.0,0.03824091778202677,,,,LV,2018,0.05621633850510123,32.0,False,,,0.49666666666666676,6,RB,,False,False,False,False,False,,,,,,-0.033124596609955745,23.333333333333332
,,00-0025418,,TE,8.9,TE,,80.10000000000001,,,0.0823960880195599,0.7,0.06985294117647059,,,,CAR,2018,0.1624566733783978,33.0,False,,,0.7877777777777778,9,TE,6.867857142857143,True,True,False,False,False,0.0,,,,,,
0.7877777777777778,,00-0025418,0.6991643454038997,TE,8.835714285714285,TE,0.16334661354581673,123.7,,,0.14355183816378136,0.6,0.13666666666666666,1.1892430278884463,,,CAR,2019,0.30548628671464695,34.0,False,8.9,,0.8157142857142857,14,TE,4.9,True,True,True,False,True,0.0,,,2.821402272195776,5.200952380952381,,
0.8157142857142857,,00-0025418,0.4373219373219373,TE,4.9,TE,0.12052117263843648,53.900000000000006,8.9,,0.05914858780188293,0.5,0.06583629893238434,0.7785016286644951,,,SEA,2020,0.14015845985989456,35.0,False,8.835714285714285,,0.5499999999999999,11,TE,,False,False,True,True,True,0.0,,,,,,
,-0.5559874867851083,00-0025708,0.13157894736842105,QB_pocket,7.043333333333333,QB,0.0,42.26,,0.046413648944318694,0.0,0.84,0.0,0.0,0.06868801629239146,98.0,KC,2019,0.0,35.0,False,,98.0,,6,QB,,False,False,False,False,False,,,,,,,
,,00-0026035,,WR,8.494666666666667,WR,,127.42,,,0.1668555240793201,0.4,0.18160919540229886,,,,MIA,2018,0.38921265995897236,33.0,False,,,0.7733333333333333,15,WR,8.485333333333333,True,True,False,False,False,,,,3.2199118670754148,6.279117647058823,,
0.7733333333333333,,00-0026035,0.7013996889580093,WR,9.370666666666667,WR,0.21507760532150777,140.56,,,0.16379310344827586,0.28,0.17636363636363636,1.5033259423503327,,,DET,2019,0.3792006269592476,34.0,False,8.494666666666667,,0.6373333333333334,15,WR,8.1,True,True,True,False,True,,,,2.952040809931464,6.281392405063292,,
0.6373333333333334,,00-0026035,0.5146831530139103,WR,7.6000000000000005,WR,0.2072072072072072,106.4,8.494666666666667,,0.11399387129724209,0.16,0.12343470483005367,1.8078078078078077,,,DET,2020,0.26494776715314994,35.0,False,9.370666666666667,,0.5078571428571429,14,WR,8.6,True,True,True,True,True,,,,3.4342340432477467,6.6728125,,
0.5078571428571429,,00-0026035,0.25487012987012986,WR,8.6,WR,0.24203821656050956,68.8,9.370666666666667,,0.08451816745655608,0.04,0.07265774378585087,1.5796178343949046,,,HOU,2021,0.16814933289836553,36.0,False,7.6000000000000005,,0.3875,8,WR,,False,False,True,True,True,,,,,,,
,4.349892129417227,00-0026143,,QB_pocket,22.185000000000002,QB,,354.96000000000004,,0.12223684690968363,0.00019212295869356388,1.0,0.0016556291390728477,,0.15598167217347422,655.0,ATL,2018,0.0026179297796947664,33.0,False,,655.0,0.989375,16,QB,17.737583333333333,True,True,False,False,False,,4.670736469683774,2.6803855024711694,,,,
0.989375,1.8014334622076003,00-0026143,0.9057591623036649,QB_pocket,17.82266666666667,QB,0.0,267.34000000000003,,0.024375556244174434,0.0,0.92,0.0,0.0,0.02710179408221662,668.0,ATL,2019,0.0,34.0,False,22.185000000000002,668.0,0.9773333333333334,15,QB,15.382720588235294,True,True,True,False,True,,2.2284058639295807,2.77389918699187,,,,
0.9773333333333334,1.232825209746511,00-0026143,1.0,QB_pocket,17.6525,QB,0.0,282.44,22.185000000000002,0.06389680202215071,0.0,0.84,0.0,0.0,0.08599760913273027,669.0,ATL,2020,0.0,35.0,False,17.82266666666667,669.0,0.9918750000000001,16,QB,13.026470588235293,True,True,True,True,True,,0.9736670032381625,2.8736848,,,,
0.9918750000000001,1.7592363416928647,00-0026143,0.9810126582278481,QB_pocket,13.112941176470587,QB,0.0,222.92,17.82266666666667,-0.014489693667914728,0.0,0.76,0.0,0.0,-0.02823914670427618,601.0,ATL,2021,0.0,36.0,False,17.6525,601.0,0.9705882352941176,17,QB,12.94,True,True,True,True,True,,1.4067485409655802,2.7728640429338105,,,,
