season,season_type,rows,players,weeks_present,week_min,week_max,n_weeks,positions,rows_missing_player_id,rows_missing_player_id_with_points,rows_missing_fantasy_points_ppr
2005,REG,16651,1778,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,17,1,0
2006,POST,719,428,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,4,0,0
2006,REG,16495,1746,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|SAF|TE|WR,17,0,0
2007,POST,712,423,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,4,0,0
2007,REG,16553,1776,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|SAF|TE|WR,17,0,0
2008,POST,729,434,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,4,0,0
2008,REG,16483,1764,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|SAF|TE|WR,17,0,0
2009,POST,719,438,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,4,0,0
2009,REG,16971,1784,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|SAF|TE|WR,17,0,0
2010,POST,707,418,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,4,0,0
2010,REG,16883,1819,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|SAF|TE|WR,17,0,0
2011,POST,701,420,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,4,0,0
2011,REG,16739,1802,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,17,0,0
2012,POST,690,421,18|19|20|21,18,21,4,C|CB|DB|DE|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,4,0,0
2012,REG,16729,1810,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17,1,17,17,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,17,1,0
2013,POST,697,417,18|19|20|21,18,21,4,C|CB|DB|DE|DL|DT|FB|FS|G|ILB|K|LB|LS|MLB|NT|OLB|OT|P|QB|RB|S|TE|WR,4,0,0
