season,column,dtype,non_null,nulls
2001,rushing_first_downs,int32,16789,0
2001,rushing_epa,float64,2056,14733
2001,rushing_2pt_conversions,int32,16789,0
2001,rushing_10,int32,16789,0
2001,rushing_12,int32,16789,0
2001,rushing_20,int32,16789,0
2001,rushing_40,int32,16789,0
2001,receptions,int32,16789,0
2001,targets,int32,16789,0
2001,receiving_yards,int32,16789,0
2001,receiving_tds,int32,16789,0
2001,receiving_fumbles,int32,16789,0
2001,receiving_fumbles_lost,int32,16789,0
2001,receiving_air_yards,int32,16789,0
2001,receiving_yards_after_catch,int32,16789,0
2001,receiving_first_downs,int32,16789,0
2001,receiving_epa,float64,3911,12878
2001,receiving_2pt_conversions,int32,16789,0
2001,receiving_10,int32,16789,0
2001,receiving_16,int32,16789,0
2001,receiving_20,int32,16789,0
2001,receiving_40,int32,16789,0
2001,racr,float64,3455,13334
2001,target_share,float64,16789,0
2001,air_yards_share,float64,10724,6065
2001,wopr,float64,10724,6065
2001,special_teams_tds,int32,16789,0
2001,def_tackles_solo,int32,16789,0
2001,def_tackles_with_assist,int32,16789,0
2001,def_tackle_assists,int32,16789,0
2001,def_tackles_for_loss,int32,16789,0
2001,def_tackles_for_loss_yards,int32,16789,0
2001,def_fumbles_forced,int32,16789,0
2001,def_sacks,float64,16789,0
2001,def_sack_yards,float64,16789,0
2001,def_qb_hits,int32,16789,0
2001,def_interceptions,int32,16789,0
2001,def_interception_yards,int32,16789,0
2001,def_pass_defended,int32,16789,0
2001,def_tds,int32,16789,0
2001,def_fumbles,int32,16789,0
2001,def_safeties,int32,16789,0
2001,def_punt_blocks,int32,16789,0
2001,def_pat_blocks,int32,16789,0
2001,def_fg_blocks,int32,16789,0
2001,def_2pt_atts,int32,16789,0
2001,def_2pt_made,int32,16789,0
2001,misc_yards,int32,16789,0
2001,fumble_recovery_own,int32,16789,0
2001,fumble_recovery_yards_own,int32,16789,0
2001,fumble_recovery_opp,int32,16789,0
2001,fumble_recovery_yards_opp,int32,16789,0
2001,fumble_recovery_tds,int32,16789,0
2001,penalties,int32,16789,0
2001,penalty_yards,int32,16789,0
2001,fumbles_forced_by_opp,int32,16789,0
2001,fumbles_not_forced,int32,16789,0
2001,fumbles_out_of_bounds,int32,16789,0
2001,fumbles_total,int32,16789,0
2001,fumbles_lost_total,int32,16789,0
2001,punt_returns,int32,16789,0
2001,punt_return_yards,int32,16789,0
2001,kickoff_returns,int32,16789,0
2001,kickoff_return_yards,int32,16789,0
2001,fg_made,int32,16789,0
2001,fg_att,int32,16789,0
2001,fg_missed,int32,16789,0
2001,fg_blocked,int32,16789,0
2001,fg_long,float64,404,16385
2001,fg_pct,float64,460,16329
2001,fg_made_0_19,int32,16789,0
2001,fg_made_20_29,int32,16789,0
2001,fg_made_30_39,int32,16789,0
2001,fg_made_40_49,int32,16789,0
2001,fg_made_50_59,int32,16789,0
2001,fg_made_60_,int32,16789,0
2001,fg_missed_0_19,int32,16789,0
2001,fg_missed_20_29,int32,16789,0
2001,fg_missed_30_39,int32,16789,0
2001,fg_missed_40_49,int32,16789,0
2001,fg_missed_50_59,int32,16789,0
2001,fg_missed_60_,int32,16789,0
2001,fg_made_list,str,404,16385
2001,fg_missed_list,str,174,16615
2001,fg_blocked_list,str,20,16769
2001,fg_made_distance,int32,16789,0
2001,fg_missed_distance,int32,16789,0
2001,fg_blocked_distance,int32,16789,0
2001,pat_made,int32,16789,0
2001,pat_att,int32,16789,0
2001,pat_missed,int32,16789,0
2001,pat_blocked,int32,16789,0
2001,pat_pct,float64,454,16335
2001,gwfg_made,int32,16789,0
2001,gwfg_att,int32,16789,0
2001,gwfg_missed,int32,16789,0
2001,gwfg_blocked,int32,16789,0
2001,gwfg_distance,int32,16789,0
2001,pt_att,int32,16789,0
2001,pt_blocked,int32,16789,0
2001,pt_long,float64,528,16261
2001,pt_yards,int32,16789,0
2001,pt_inside_20,int32,16789,0
2001,pt_out_of_bounds,int32,16789,0
2001,pt_downed,int32,16789,0
2001,pt_touchback,int32,16789,0
2001,pt_fair_caught,int32,16789,0
2001,pt_returned,int32,16789,0
2001,pt_return_yards,int32,16789,0
2001,pt_return_tds,int32,16789,0
2001,pt_net_yards,int32,16789,0
2001,fantasy_points,float64,16789,0
2001,fantasy_points_ppr,float64,16789,0
2002,player_id,str,17460,21
2002,player_name,str,17474,7
2002,player_display_name,str,17460,21
2002,position,str,17460,21
2002,position_group,str,17460,21
2002,headshot_url,str,17460,21
2002,season,int32,17481,0
2002,week,int32,17481,0
2002,season_type,str,17481,0
2002,game_id,str,17481,0
2002,team,str,17481,0
2002,opponent_team,str,17481,0
2002,completions,int32,17481,0
2002,attempts,int32,17481,0
2002,passing_yards,int32,17481,0
2002,passing_tds,int32,17481,0
2002,passing_interceptions,int32,17481,0
2002,sacks_suffered,int32,17481,0
2002,sack_yards_lost,int32,17481,0
2002,sack_fumbles,int32,17481,0
2002,sack_fumbles_lost,int32,17481,0
2002,passing_air_yards,int32,17481,0
2002,passing_yards_after_catch,int32,17481,0
2002,passing_first_downs,int32,17481,0
2002,passing_epa,float64,681,16800
2002,passing_cpoe,float64,0,17481
2002,passing_2pt_conversions,int32,17481,0
2002,pacr,float64,631,16850
2002,passing_10,int32,17481,0
2002,passing_16,int32,17481,0
2002,passing_20,int32,17481,0
2002,passing_40,int32,17481,0
2002,carries,int32,17481,0
2002,rushing_yards,int32,17481,0
2002,rushing_tds,int32,17481,0
2002,rushing_fumbles,int32,17481,0
2002,rushing_fumbles_lost,int32,17481,0
2002,rushing_first_downs,int32,17481,0
2002,rushing_epa,float64,2154,15327
2002,rushing_2pt_conversions,int32,17481,0
2002,rushing_10,int32,17481,0
2002,rushing_12,int32,17481,0
2002,rushing_20,int32,17481,0
2002,rushing_40,int32,17481,0
2002,receptions,int32,17481,0
2002,targets,int32,17481,0
2002,receiving_yards,int32,17481,0
2002,receiving_tds,int32,17481,0
2002,receiving_fumbles,int32,17481,0
2002,receiving_fumbles_lost,int32,17481,0
2002,receiving_air_yards,int32,17481,0
2002,receiving_yards_after_catch,int32,17481,0
2002,receiving_first_downs,int32,17481,0
2002,receiving_epa,float64,4122,13359
2002,receiving_2pt_conversions,int32,17481,0
2002,receiving_10,int32,17481,0
2002,receiving_16,int32,17481,0
2002,receiving_20,int32,17481,0
2002,receiving_40,int32,17481,0
2002,racr,float64,3641,13840
2002,target_share,float64,17481,0
2002,air_yards_share,float64,11085,6396
2002,wopr,float64,11085,6396
2002,special_teams_tds,int32,17481,0
2002,def_tackles_solo,int32,17481,0
2002,def_tackles_with_assist,int32,17481,0
2002,def_tackle_assists,int32,17481,0
2002,def_tackles_for_loss,int32,17481,0
2002,def_tackles_for_loss_yards,int32,17481,0
2002,def_fumbles_forced,int32,17481,0
2002,def_sacks,float64,17481,0
2002,def_sack_yards,float64,17481,0
2002,def_qb_hits,int32,17481,0
2002,def_interceptions,int32,17481,0
2002,def_interception_yards,int32,17481,0
2002,def_pass_defended,int32,17481,0
2002,def_tds,int32,17481,0
2002,def_fumbles,int32,17481,0
2002,def_safeties,int32,17481,0
2002,def_punt_blocks,int32,17481,0
2002,def_pat_blocks,int32,17481,0
2002,def_fg_blocks,int32,17481,0
2002,def_2pt_atts,int32,17481,0
2002,def_2pt_made,int32,17481,0
2002,misc_yards,int32,17481,0
2002,fumble_recovery_own,int32,17481,0
2002,fumble_recovery_yards_own,int32,17481,0
2002,fumble_recovery_opp,int32,17481,0
2002,fumble_recovery_yards_opp,int32,17481,0
2002,fumble_recovery_tds,int32,17481,0
2002,penalties,int32,17481,0
2002,penalty_yards,int32,17481,0
2002,fumbles_forced_by_opp,int32,17481,0
2002,fumbles_not_forced,int32,17481,0
2002,fumbles_out_of_bounds,int32,17481,0
2002,fumbles_total,int32,17481,0
2002,fumbles_lost_total,int32,17481,0
2002,punt_returns,int32,17481,0
2002,punt_return_yards,int32,17481,0
2002,kickoff_returns,int32,17481,0
2002,kickoff_return_yards,int32,17481,0
2002,fg_made,int32,17481,0
2002,fg_att,int32,17481,0
2002,fg_missed,int32,17481,0
2002,fg_blocked,int32,17481,0
2002,fg_long,float64,408,17073
2002,fg_pct,float64,458,17023
2002,fg_made_0_19,int32,17481,0
2002,fg_made_20_29,int32,17481,0
2002,fg_made_30_39,int32,17481,0
2002,fg_made_40_49,int32,17481,0
2002,fg_made_50_59,int32,17481,0
2002,fg_made_60_,int32,17481,0
2002,fg_missed_0_19,int32,17481,0
2002,fg_missed_20_29,int32,17481,0
2002,fg_missed_30_39,int32,17481,0
2002,fg_missed_40_49,int32,17481,0
2002,fg_missed_50_59,int32,17481,0
2002,fg_missed_60_,int32,17481,0
2002,fg_made_list,str,408,17073
2002,fg_missed_list,str,170,17311
2002,fg_blocked_list,str,33,17448
2002,fg_made_distance,int32,17481,0
2002,fg_missed_distance,int32,17481,0
2002,fg_blocked_distance,int32,17481,0
2002,pat_made,int32,17481,0
2002,pat_att,int32,17481,0
2002,pat_missed,int32,17481,0
2002,pat_blocked,int32,17481,0
2002,pat_pct,float64,482,16999
2002,gwfg_made,int32,17481,0
2002,gwfg_att,int32,17481,0
2002,gwfg_missed,int32,17481,0
2002,gwfg_blocked,int32,17481,0
2002,gwfg_distance,int32,17481,0
2002,pt_att,int32,17481,0
2002,pt_blocked,int32,17481,0
2002,pt_long,float64,539,16942
2002,pt_yards,int32,17481,0
2002,pt_inside_20,int32,17481,0
2002,pt_out_of_bounds,int32,17481,0
2002,pt_downed,int32,17481,0
2002,pt_touchback,int32,17481,0
2002,pt_fair_caught,int32,17481,0
2002,pt_returned,int32,17481,0
2002,pt_return_yards,int32,17481,0
2002,pt_return_tds,int32,17481,0
2002,pt_net_yards,int32,17481,0
2002,fantasy_points,float64,17481,0
2002,fantasy_points_ppr,float64,17481,0
2003,player_id,str,17211,21
2003,player_name,str,17224,8
2003,player_display_name,str,17211,21
2003,position,str,17211,21
2003,position_group,str,17211,21
2003,headshot_url,str,17211,21
2003,season,int32,17232,0
2003,week,int32,17232,0
2003,season_type,str,17232,0
2003,game_id,str,17232,0
2003,team,str,17232,0
2003,opponent_team,str,17232,0
2003,completions,int32,17232,0
2003,attempts,int32,17232,0
2003,passing_yards,int32,17232,0
2003,passing_tds,int32,17232,0
2003,passing_interceptions,int32,17232,0
2003,sacks_suffered,int32,17232,0
2003,sack_yards_lost,int32,17232,0
2003,sack_fumbles,int32,17232,0
2003,sack_fumbles_lost,int32,17232,0
2003,passing_air_yards,int32,17232,0
2003,passing_yards_after_catch,int32,17232,0
2003,passing_first_downs,int32,17232,0
2003,passing_epa,float64,694,16538
2003,passing_cpoe,float64,0,17232
2003,passing_2pt_conversions,int32,17232,0
2003,pacr,float64,642,16590
2003,passing_10,int32,17232,0
2003,passing_16,int32,17232,0
2003,passing_20,int32,17232,0
2003,passing_40,int32,17232,0
2003,carries,int32,17232,0
2003,rushing_yards,int32,17232,0
2003,rushing_tds,int32,17232,0
2003,rushing_fumbles,int32,17232,0
2003,rushing_fumbles_lost,int32,17232,0
2003,rushing_first_downs,int32,17232,0
2003,rushing_epa,float64,2141,15091
2003,rushing_2pt_conversions,int32,17232,0
2003,rushing_10,int32,17232,0
2003,rushing_12,int32,17232,0
2003,rushing_20,int32,17232,0
2003,rushing_40,int32,17232,0
2003,receptions,int32,17232,0
2003,targets,int32,17232,0
2003,receiving_yards,int32,17232,0
2003,receiving_tds,int32,17232,0
2003,receiving_fumbles,int32,17232,0
2003,receiving_fumbles_lost,int32,17232,0
2003,receiving_air_yards,int32,17232,0
2003,receiving_yards_after_catch,int32,17232,0
2003,receiving_first_downs,int32,17232,0
2003,receiving_epa,float64,3588,13644
2003,receiving_2pt_conversions,int32,17232,0
2003,receiving_10,int32,17232,0
2003,receiving_16,int32,17232,0
2003,receiving_20,int32,17232,0
2003,receiving_40,int32,17232,0
2003,racr,float64,3560,13672
2003,target_share,float64,60,17172
2003,air_yards_share,float64,60,17172
2003,wopr,float64,60,17172
2003,special_teams_tds,int32,17232,0
2003,def_tackles_solo,int32,17232,0
2003,def_tackles_with_assist,int32,17232,0
2003,def_tackle_assists,int32,17232,0
2003,def_tackles_for_loss,int32,17232,0
2003,def_tackles_for_loss_yards,int32,17232,0
2003,def_fumbles_forced,int32,17232,0
2003,def_sacks,float64,17232,0
2003,def_sack_yards,float64,17232,0
2003,def_qb_hits,int32,17232,0
2003,def_interceptions,int32,17232,0
2003,def_interception_yards,int32,17232,0
2003,def_pass_defended,int32,17232,0
2003,def_tds,int32,17232,0
2003,def_fumbles,int32,17232,0
2003,def_safeties,int32,17232,0
2003,def_punt_blocks,int32,17232,0
2003,def_pat_blocks,int32,17232,0
2003,def_fg_blocks,int32,17232,0
2003,def_2pt_atts,int32,17232,0
2003,def_2pt_made,int32,17232,0
2003,misc_yards,int32,17232,0
2003,fumble_recovery_own,int32,17232,0
2003,fumble_recovery_yards_own,int32,17232,0
2003,fumble_recovery_opp,int32,17232,0
2003,fumble_recovery_yards_opp,int32,17232,0
2003,fumble_recovery_tds,int32,17232,0
2003,penalties,int32,17232,0
2003,penalty_yards,int32,17232,0
2003,fumbles_forced_by_opp,int32,17232,0
2003,fumbles_not_forced,int32,17232,0
2003,fumbles_out_of_bounds,int32,17232,0
2003,fumbles_total,int32,17232,0
2003,fumbles_lost_total,int32,17232,0
2003,punt_returns,int32,17232,0
2003,punt_return_yards,int32,17232,0
2003,kickoff_returns,int32,17232,0
2003,kickoff_return_yards,int32,17232,0
2003,fg_made,int32,17232,0
2003,fg_att,int32,17232,0
2003,fg_missed,int32,17232,0
2003,fg_blocked,int32,17232,0
2003,fg_long,float64,423,16809
2003,fg_pct,float64,462,16770
2003,fg_made_0_19,int32,17232,0
2003,fg_made_20_29,int32,17232,0
2003,fg_made_30_39,int32,17232,0
2003,fg_made_40_49,int32,17232,0
2003,fg_made_50_59,int32,17232,0
2003,fg_made_60_,int32,17232,0
2003,fg_missed_0_19,int32,17232,0
2003,fg_missed_20_29,int32,17232,0
2003,fg_missed_30_39,int32,17232,0
2003,fg_missed_40_49,int32,17232,0
2003,fg_missed_50_59,int32,17232,0
2003,fg_missed_60_,int32,17232,0
2003,fg_made_list,str,423,16809
2003,fg_missed_list,str,157,17075
2003,fg_blocked_list,str,23,17209
2003,fg_made_distance,int32,17232,0
2003,fg_missed_distance,int32,17232,0
2003,fg_blocked_distance,int32,17232,0
2003,pat_made,int32,17232,0
2003,pat_att,int32,17232,0
2003,pat_missed,int32,17232,0
2003,pat_blocked,int32,17232,0
2003,pat_pct,float64,482,16750
2003,gwfg_made,int32,17232,0
2003,gwfg_att,int32,17232,0
2003,gwfg_missed,int32,17232,0
2003,gwfg_blocked,int32,17232,0
2003,gwfg_distance,int32,17232,0
2003,pt_att,int32,17232,0
2003,pt_blocked,int32,17232,0
2003,pt_long,float64,540,16692
2003,pt_yards,int32,17232,0
2003,pt_inside_20,int32,17232,0
2003,pt_out_of_bounds,int32,17232,0
2003,pt_downed,int32,17232,0
2003,pt_touchback,int32,17232,0
2003,pt_fair_caught,int32,17232,0
2003,pt_returned,int32,17232,0
2003,pt_return_yards,int32,17232,0
2003,pt_return_tds,int32,17232,0
2003,pt_net_yards,int32,17232,0
2003,fantasy_points,float64,17232,0
2003,fantasy_points_ppr,float64,17232,0
2004,player_id,str,17251,21
2004,player_name,str,17261,11
2004,player_display_name,str,17251,21
2004,position,str,17251,21
2004,position_group,str,17251,21
2004,headshot_url,str,17251,21
2004,season,int32,17272,0
2004,week,int32,17272,0
