player_id,position,feature_season,forecast_cutoff,arm,identity_status,forecast_season_year1,p_appear_year1,e_points_year1_given_appear,e_games_year1_given_appear,e_points_year1,e_games_year1,forecast_season_year2,p_appear_year2,e_points_year2_given_appear,e_games_year2_given_appear,e_points_year2,e_games_year2
00-0040129,WR,2025,post-2025-season,served_features,resolved,2026,0.9922008266033017,152.90465938777535,13.731225848237697,151.712129436047,13.624133636898065,2027,0.9456469541392143,168.35548054048328,13.081531186409679,159.20484738575178,12.370510121905456
00-0040130,WR,2025,post-2025-season,served_features,resolved,2026,0.9848499912171375,124.23498211764586,13.389447077610019,122.35282104742475,13.186596836786553,2027,0.9267387316252532,122.73986635868951,12.424791304745405,113.747788069105,11.514535334468231
00-0040131,WR,2025,post-2025-season,served_features,resolved,2026,0.9506941935184656,74.35059120165602,11.79440261519683,70.6846753400795,11.212870082286633,2027,0.8517632823428414,72.88201669657117,10.993008367746205,62.07822576523723,9.363440890133829
00-0040134,WR,2025,post-2025-season,served_features,resolved,2026,0.946486557354467,91.13179610935215,11.821321757054932,86.25501996506992,11.18872213321438,2027,0.8574074795624397,81.21061403985871,11.260987758784044,69.63058789763333,9.655255131642514
00-0040138,WR,2025,post-2025-season,served_features,resolved,2026,0.9720489609816597,85.84857769923377,12.49867193640766,83.44902075429347,12.149321069435695,2027,0.8983466385570671,85.3452855418515,11.59434756878569,76.66965038321536,10.415743164680928
00-0040154,WR,2025,post-2025-season,served_features,resolved,2026,0.8852312132904218,39.66241783179176,10.027082255101332,35.110410259268676,8.87628619044621,2027,0.7574175579951876,53.67832125218757,9.793360752786315,40.65690300011309,7.417663385941323
00-0040164,WR,2025,post-2025-season,served_features,resolved,2026,0.9404033289415678,71.3490207301432,11.310064712350787,67.09685661134759,10.636022506039234,2027,0.8187213758640253,77.67881676055345,10.706533232066182,63.597307733689824,8.765667618491134
00-0040170,WR,2025,post-2025-season,served_features,resolved,2026,0.9779222849499645,114.01843861193214,12.610408525032478,111.50117201380793,12.331999518952271,2027,0.8949338833506802,121.83526736090383,11.90450939685146,109.03450894836205,10.653748823908941
00-0040184,WR,2025,post-2025-season,served_features,resolved,2026,0.7841624934441491,34.49300448690299,9.275368679613152,27.048120404830073,7.273396231419214,2027,0.5877210759243887,42.648736970240435,8.985412425592608,25.065561578965962,5.280916258393659
00-0040218,WR,2025,post-2025-season,served_features,resolved,2026,0.8739421529792312,51.61877949990523,10.011852612666907,45.11182729030738,8.749780027624857,2027,0.7162185291369608,60.92752783385211,9.784141365963137,43.6374243691128,7.007583337998213
00-0040237,WR,2025,post-2025-season,served_features,resolved,2026,0.957863162457803,95.98761262330945,11.913712277207978,91.94299818413772,11.411706118458788,2027,0.8572344681125248,93.7475365113478,11.311183712845528,80.36361959816473,9.69633655380419
00-0040259,WR,2025,post-2025-season,served_features,resolved,2026,0.8967487820591877,47.45648091877663,10.401513436438984,42.55654146472802,9.327544505698935,2027,0.7581574505597334,52.621673139646674,9.94967422377142,39.89551355174213,7.543419643394435
00-0040277,WR,2025,post-2025-season,served_features,resolved,2026,0.796848842995417,53.10340997928911,9.031283014322407,42.31539080110781,7.196567420726972,2027,0.6384224219008918,67.78852104312871,9.314128668643104,43.2777117814338,5.94634858253166
00-0040432,WR,2025,post-2025-season,served_features,resolved,2026,0.603474975517479,15.499790691651867,7.672805067693191,9.35373580817066,4.630345850376537,2027,0.4357998977272756,35.66464488763083,7.97213841258883,15.542648594509119,3.4742571048738977
00-0040506,WR,2025,post-2025-season,served_features,resolved,2026,0.8769402541827429,37.31354832815835,10.560234982330275,32.721752555355245,9.260695149634206,2027,0.7361645225762519,35.63964754102288,9.618252928470483,26.236644116822998,7.080616575105109
00-0040534,WR,2025,post-2025-season,served_features,resolved,2026,0.7701688643826887,24.587064771401195,9.232477888171845,18.93619175349367,7.110567010571594,2027,0.5971856409341828,32.746720638922426,8.809554887826188,19.55587135324752,5.260939682031345
00-0040563,WR,2025,post-2025-season,served_features,resolved,2026,0.7391517210233979,39.87900723593833,9.452611691263789,29.476636831148355,6.986914199763521,2027,0.6488730164162108,46.042901077557076,9.409067493922285,29.87599610674766,6.1052900064450695
00-0040581,WR,2025,post-2025-season,served_features,resolved,2026,0.8471136673404753,46.48062590943796,9.861405220778767,39.37437347442471,8.353731141704412,2027,0.6580402424735837,56.60063106055074,9.507901153203798,37.24549298724266,6.256581580269094
00-0040582,WR,2025,post-2025-season,served_features,resolved,2026,0.802090179615864,37.72799261727121,9.9545740183532,30.261252374933058,7.984466062380332,2027,0.6235404456580157,33.72944365389907,9.288123271456284,21.031672327749153,5.791520524010438
00-0040590,WR,2025,post-2025-season,served_features,resolved,2026,0.8907083904907102,54.29164994874887,10.468633665593366,48.358028142935154,9.32449984291753,2027,0.7313882036154151,55.36960171387257,9.942177871809822,40.49667353241027,7.271591613687916
00-0040648,WR,2025,post-2025-season,served_features,resolved,2026,0.8886192851299529,92.01309460239308,10.386266715640364,81.76461034817326,9.229436904021364,2027,0.7418060236357386,87.68421094132246,10.435662911736033,65.04467585401973,7.74123760855786
00-0040667,WR,2025,post-2025-season,served_features,resolved,2026,0.9664526645748838,98.64254550061537,12.087447831994576,95.33335093951894,11.68194616514106,2027,0.8840828769170217,102.46802334429128,11.623693582422261,90.59022487022158,10.276308462749794
00-0040669,WR,2025,post-2025-season,served_features,resolved,2026,0.9384354944627465,85.6368695865925,11.449684159126278,80.36467805473568,10.744790015311946,2027,0.8273328015216024,81.28411934158103,10.890855224870332,67.2490181740865,9.010361764158153
00-0040705,WR,2025,post-2025-season,served_features,resolved,2026,0.979948856473278,109.17557777028513,12.634607385068891,106.98648259080035,12.381269058987094,2027,0.8785510585141334,114.60362858236752,11.917820562721014,100.68513920059958,10.470413870560051
00-0040727,WR,2025,post-2025-season,served_features,resolved,2026,0.9550795361131074,85.49256126296532,12.066935873116309,81.65219575215434,11.52488351600254,2027,0.856233300735559,79.21378335554685,11.266444534699719,67.82547918627137,9.646704991500041
00-0040729,WR,2025,post-2025-season,served_features,resolved,2026,0.9123073748077067,64.680980249598,10.944546564437703,59.008935291499874,9.984790544662866,2027,0.7803202460448598,65.51842872333152,10.427994305692076,51.12535642186267,8.137175082372037
