player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons
00-0031257,2015,WR,5.0,artifact_row,5.0,5.0,1,23.0,2,True,2014.0,2.0,45.0,2.0,,2,0
00-0031268,2015,WR,0.0,artifact_row,0.0,0.0,2,24.0,2,True,2014.0,6.0,196.0,2.0,,2,0
00-0031291,2015,WR,0.0,no_record_zero,0.0,,0,24.0,1,True,2014.0,7.0,239.0,2.0,,2,1
00-0031310,2015,WR,20.3,artifact_row,22.4,2.036363636363636,11,24.0,2,True,2014.0,5.0,146.0,2.0,,2,0
00-0031315,2015,WR,0.0,artifact_row,0.0,0.0,1,23.0,1,True,2014.0,6.0,190.0,2.0,,2,1
00-0031326,2015,WR,23.6,artifact_row,29.0,2.230769230769231,13,24.0,2,True,2014.0,4.0,106.0,2.0,,2,0
00-0031327,2015,WR,0.0,artifact_row,0.0,0.0,1,26.0,2,True,2014.0,4.0,123.0,2.0,,2,0
00-0031344,2015,WR,18.0,artifact_row,24.1,2.4099999999999997,10,23.0,2,True,2014.0,2.0,56.0,2.0,,2,0
00-0031431,2015,WR,37.9,artifact_row,43.9,4.877777777777777,9,24.0,2,True,2014.0,2.0,39.0,2.0,,2,0
00-0031547,2015,WR,71.8,artifact_row,93.4,9.34,10,22.0,1,True,2015.0,1.0,14.0,1.0,,1,0
00-0031549,2015,WR,53.0,artifact_row,57.3,4.407692307692307,13,22.0,1,True,2015.0,1.0,20.0,1.0,,1,0
00-0031560,2015,WR,36.5,artifact_row,50.8,4.618181818181818,11,21.0,1,True,2015.0,3.0,70.0,1.0,,1,0
00-0031570,2015,WR,33.0,artifact_row,40.4,4.488888888888889,9,24.0,1,True,2015.0,4.0,107.0,1.0,,1,0
00-0031600,2015,WR,26.9,artifact_row,26.9,1.7933333333333334,15,23.0,1,True,2015.0,5.0,175.0,1.0,,1,0
00-0031934,2015,WR,26.5,artifact_row,26.5,3.7857142857142856,7,23.0,1,True,2015.0,2.0,37.0,1.0,,1,0
00-0031953,2015,WR,4.1,artifact_row,4.1,0.82,5,23.0,1,True,2015.0,6.0,186.0,1.0,,1,0
00-0031954,2015,WR,0.0,artifact_row,0.0,0.0,1,22.0,1,True,2015.0,6.0,187.0,1.0,,1,0
00-0031962,2015,WR,2.5,artifact_row,2.5,2.5,1,23.0,1,True,2015.0,7.0,238.0,1.0,,1,0
