player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons
00-0036212,2024,QB,181.58,artifact_row,181.58,16.507272727272728,11,26.0,5,True,2020.0,1.0,5.0,5.0,draft_year_outside_1_3,0,0
00-0036264,2024,QB,231.1,artifact_row,237.34,14.83375,16,26.0,4,True,2020.0,1.0,26.0,5.0,draft_year_outside_1_3,0,0
00-0036355,2024,QB,257.36,artifact_row,291.08,16.17111111111111,18,26.0,5,True,2020.0,1.0,6.0,5.0,draft_year_outside_1_3,0,0
00-0036389,2024,QB,315.12,artifact_row,411.56,21.661052631578947,19,26.0,5,True,2020.0,2.0,53.0,5.0,draft_year_outside_1_3,0,0
00-0036442,2024,QB,359.84000000000003,artifact_row,372.82,21.930588235294117,17,28.0,5,True,2020.0,1.0,1.0,5.0,draft_year_outside_1_3,0,0
00-0036898,2024,QB,3.3600000000000003,artifact_row,9.580000000000002,2.3950000000000005,4,26.0,4,True,2021.0,3.0,67.0,4.0,draft_year_outside_1_3,0,0
00-0036928,2024,QB,-0.2,artifact_row,-0.2,-0.0666666666666666,3,26.0,3,True,2021.0,2.0,64.0,4.0,draft_year_outside_1_3,0,0
00-0036945,2024,QB,119.14,artifact_row,119.14,10.83090909090909,11,25.0,4,True,2021.0,1.0,11.0,4.0,draft_year_outside_1_3,0,0
00-0036971,2024,QB,145.2,artifact_row,145.2,14.52,10,25.0,4,True,2021.0,1.0,1.0,4.0,draft_year_outside_1_3,0,0
00-0036972,2024,QB,83.38,artifact_row,96.08,9.608,10,26.0,4,True,2021.0,1.0,15.0,4.0,draft_year_outside_1_3,0,0
00-0037012,2024,QB,0.38,artifact_row,12.74,3.185,4,24.0,3,True,2021.0,1.0,3.0,4.0,draft_year_outside_1_3,0,0
00-0037013,2024,QB,0.0,no_record_zero,0.0,,0,25.0,3,True,2021.0,1.0,2.0,4.0,draft_year_outside_1_3,0,0
00-0037077,2024,QB,-0.8400000000000001,artifact_row,-0.8400000000000001,-0.8400000000000001,1,24.0,3,True,2022.0,5.0,144.0,3.0,prior_contribution,3,0
00-0037324,2024,QB,0.0,artifact_row,0.5,0.5,1,27.0,1,True,2022.0,7.0,241.0,3.0,,3,2
00-0037327,2024,QB,7.880000000000001,artifact_row,7.880000000000001,3.94,2,27.0,2,True,2022.0,7.0,247.0,3.0,,3,1
00-0037834,2024,QB,266.86,artifact_row,266.86,17.790666666666667,15,25.0,3,True,2022.0,7.0,262.0,3.0,prior_contribution,3,0
00-0038102,2024,QB,25.14,artifact_row,24.44,3.491428571428571,7,26.0,3,True,2022.0,1.0,20.0,3.0,prior_contribution,3,0
00-0038108,2024,QB,0.0,artifact_row,7.000000000000001,7.000000000000001,1,25.0,3,True,2022.0,4.0,137.0,3.0,,3,0
00-0038122,2024,QB,21.48,artifact_row,21.92,4.384,5,25.0,3,True,2022.0,3.0,74.0,3.0,prior_contribution,3,0
00-0038128,2024,QB,48.06,artifact_row,51.8,8.633333333333335,6,25.0,3,True,2022.0,3.0,86.0,3.0,,3,0
00-0038391,2024,QB,0.0,no_record_zero,0.0,,0,26.0,1,True,2023.0,5.0,149.0,2.0,,2,1
00-0038400,2024,QB,9.96,artifact_row,28.82,14.41,2,24.0,1,True,2023.0,6.0,188.0,2.0,,2,1
00-0038416,2024,QB,-0.26,artifact_row,-0.26,-0.065,4,24.0,2,False,,,,,no_verified_draft_class,0,0
00-0038476,2024,QB,13.480000000000002,artifact_row,13.480000000000002,6.740000000000001,2,26.0,2,False,,,,,no_verified_draft_class,0,0
00-0038550,2024,QB,2.68,artifact_row,2.68,0.8933333333333334,3,26.0,1,True,2023.0,3.0,68.0,2.0,,2,1
00-0038579,2024,QB,77.62,artifact_row,93.48,10.386666666666668,9,26.0,2,True,2023.0,4.0,135.0,2.0,prior_contribution,2,0
00-0038582,2024,QB,-2.28,artifact_row,-2.08,-0.416,5,25.0,2,True,2023.0,5.0,139.0,2.0,,2,0
00-0038583,2024,QB,14.98,artifact_row,15.8,2.6333333333333333,6,25.0,2,True,2023.0,5.0,140.0,2.0,,2,0
00-0038598,2024,QB,0.0,no_record_zero,0.0,,0,26.0,1,True,2023.0,5.0,164.0,2.0,,2,1
