player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons,policy_1,persistence_1,policy_2,persistence_2,policy_3,persistence_3,policy_4,persistence_4,policy_5,persistence_5,future_sum,future_year1,persistence_sum,label_sources,realized_sum,contributor_any,appeared,any_no_record,horizon,realized_points,rank_future_sum,rank_future_year1,rank_origin_points,rank_draft,rank_persistence
00-0034432,2020,RB,3.1,artifact_row,3.1,3.1,1,24.0,2,True,2018.0,7.0,236.0,3.0,,3,1,13.476742847508184,1.579175492735575,10.539167306302485,1.1457551083859094,9.144315726474328,0.799475616770904,8.651894631611105,0.5431063368055632,4.796516562074856,0.3759271848643947,33.13189422646278,13.476742847508184,2.8642642468267714,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,28.0,27.0,25.0,35.0,26.0
00-0034433,2020,RB,0.0,no_record_zero,0.0,,0,24.0,1,True,2018.0,7.0,237.0,3.0,,3,2,4.053707948408314,0.0,3.8243409231710586,0.0,5.481323532426071,0.0,5.30787826567802,0.0,3.7618387855593896,0.0,18.37538150683454,4.053707948408314,0.0,no_record_zero+artifact_row+no_record_zero+no_record_zero,11.5,False,True,True,2345,11.5,34.0,34.0,35.5,36.0,35.5
00-0034440,2020,RB,51.9,artifact_row,65.3,8.1625,8,24.0,3,True,2018.0,7.0,251.0,3.0,,3,0,64.83497382925088,33.264567637300985,45.253406150199616,24.13477696051609,32.52865792034644,16.840567024238716,22.562457134422672,11.44027219142041,14.10803311838417,7.918724248917733,114.4525543233529,64.83497382925088,60.33434042509295,artifact_row+no_record_zero+no_record_zero+no_record_zero,48.8,False,True,True,2345,48.8,14.0,11.0,14.0,39.0,9.0
00-0034679,2020,RB,0.0,no_record_zero,0.0,,0,23.0,2,True,2018.0,4.0,112.0,3.0,,3,1,13.595669991130508,0.0,9.590522753220505,0.0,10.729672006728745,0.0,10.555023397505089,0.0,6.264779465625353,0.0,37.139997623079694,13.595669991130508,0.0,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,27.0,26.0,35.5,10.5,35.5
00-0034750,2020,RB,1.5,artifact_row,3.4000000000000004,1.1333333333333335,3,24.0,3,True,2018.0,1.0,27.0,3.0,,3,0,11.1129124325768,1.7319989275164374,9.822680296394626,1.2566346350039006,7.609518845440785,0.8768442248455076,8.843234882661633,0.5956650145609403,4.490180421135018,0.412307235012562,30.765614445632064,11.1129124325768,3.1414511094229107,artifact_row+artifact_row+no_record_zero+no_record_zero,55.400000000000006,False,True,True,2345,55.400000000000006,30.0,29.0,28.0,1.0,25.0
00-0034799,2020,RB,84.3,artifact_row,93.9,8.536363636363637,11,25.0,3,True,2018.0,4.0,131.0,3.0,,3,0,76.19987855896187,47.833735086409845,53.69523197850824,34.70529183143125,36.60231209430432,24.21637432735093,23.209695482461647,16.450866137433028,14.40673851860408,11.386955696376344,127.91397807387827,76.19987855896187,86.75948799259156,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,13.0,7.0,5.0,17.0,4.0
00-0034808,2020,RB,0.0,no_record_zero,0.0,,0,24.0,2,True,2018.0,6.0,176.0,3.0,,3,1,2.934097844434215,0.0,3.1699551876730765,0.0,5.342642279430678,0.0,4.754660759423956,0.0,3.6525802320664287,0.0,16.91983845859414,2.934097844434215,0.0,no_record_zero+no_record_zero+artifact_row+no_record_zero,0.0,False,True,True,2345,0.0,37.0,35.0,35.5,24.0,35.5
00-0034972,2020,RB,57.4,artifact_row,86.9,6.684615384615385,13,22.0,2,True,2019.0,3.0,102.0,2.0,,2,0,86.47436010604791,44.26785494152306,72.50903433973811,32.11810287701146,53.58323477590851,22.411106805610174,48.74707678690634,15.22449698980756,31.116241784701582,10.538087859585774,205.95558768725454,86.47436010604791,80.29179453201496,artifact_row+artifact_row+artifact_row+no_record_zero,329.0,True,True,True,2345,329.0,3.0,3.0,9.0,9.0,6.0
00-0034975,2020,RB,10.9,artifact_row,13.0,1.0833333333333333,12,23.0,2,True,2019.0,4.0,113.0,2.0,,2,0,34.85691403144414,6.622348840504024,25.07073126027932,4.80477948677962,17.850024194162625,3.3526396832328227,21.06906308235757,2.2775427027330064,10.324794170237828,1.576468839753913,74.31461270703734,34.85691403144414,12.011430712499362,artifact_row+artifact_row+artifact_row+artifact_row,334.59999999999997,True,True,False,2345,334.59999999999997,22.0,22.0,22.0,12.0,23.0
00-0034995,2020,RB,0.8,artifact_row,0.8,0.8,1,23.0,2,True,2019.0,6.0,194.0,2.0,,2,0,1.9988162199713344,0.4075291594156323,4.305661304338475,0.2956787376479766,6.476063334383091,0.2063162881989429,5.9996604869853325,0.1401564740143389,3.8441670818196463,0.0970134670617792,20.625552207526543,1.9988162199713344,0.7391649669230375,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,33.0,37.0,30.0,27.0,30.0
00-0035148,2020,RB,3.2,artifact_row,33.2,6.640000000000001,5,23.0,2,True,2019.0,6.0,214.0,2.0,,2,0,51.66052592366667,16.91246011574874,33.671144712255085,12.27066761239103,27.233368507476445,8.562125960256132,22.24077945364224,5.8164936715950635,12.109654655493264,4.026058883063841,95.25494732886703,51.66052592366667,30.675346127306064,no_record_zero+no_record_zero+no_record_zero+no_record_zero,0.0,False,False,True,2345,0.0,17.0,14.0,24.0,31.0,16.0
00-0035217,2020,RB,73.9,artifact_row,77.60000000000001,4.8500000000000005,16,22.0,2,True,2019.0,4.0,122.0,2.0,,2,0,77.7622933674555,39.53032846331634,69.13316413784011,28.68083755185373,48.618912970403734,20.012679955297468,45.99465148225741,13.595177979390872,30.35689345554378,9.41030630499259,194.10362204604502,77.7622933674555,71.69900179153466,artifact_row+no_record_zero+no_record_zero+no_record_zero,18.7,False,True,True,2345,18.7,4.0,5.0,7.0,14.0,8.0
