player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons,policy_1,persistence_1,policy_2,persistence_2,policy_3,persistence_3,future_sum,future_year1,persistence_sum,label_sources,realized_sum,contributor_any,appeared,any_no_record,horizon,realized_points,rank_future_sum,rank_future_year1,rank_origin_points,rank_draft,rank_persistence
00-0030465,2014,RB,0.0,no_record_zero,0.0,,0,25.0,1,True,2013.0,6.0,182.0,2.0,,2,1,4.759488745529667,0.0,2.9669706653957846,0.0,5.829125106432352,0.0,8.796095771828137,4.759488745529667,0.0,artifact_row+artifact_row,54.2,False,True,False,23,54.2,33.0,34.0,32.5,24.5,32.5
00-0030513,2014,RB,72.0,artifact_row,85.7,6.592307692307693,13,24.0,1,True,2013.0,6.0,181.0,2.0,,2,1,75.86582980425668,44.030988010090056,66.56604413058143,32.03639374270055,46.49805245229898,22.374015255378648,113.06409658288041,75.86582980425668,54.41040899807919,artifact_row+artifact_row,337.79999999999995,True,True,False,23,337.79999999999995,7.0,6.0,6.0,22.5,6.0
00-0030522,2014,RB,36.4,artifact_row,36.4,7.279999999999999,5,24.0,2,True,2013.0,2.0,58.0,2.0,,2,0,65.4441167343316,18.701609843258787,44.27850853595032,13.607056385464409,33.43265721834932,9.50308232550505,77.71116575429964,65.4441167343316,23.11013871096946,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,15.0,13.0,14.0,4.0,14.0
00-0030999,2014,RB,16.8,artifact_row,26.1,3.7285714285714286,7,23.0,1,True,2014.0,6.0,201.0,1.0,,1,0,40.22932888246446,13.409670794204793,35.837222954775164,9.756708012654425,26.150912652571563,6.814023315815435,61.98813560734673,40.22932888246446,16.57073132846986,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,17.0,18.0,20.0,31.0,18.0
00-0031045,2014,RB,74.1,artifact_row,74.1,5.292857142857143,14,24.0,1,True,2014.0,2.0,57.0,1.0,,1,0,67.74239855075322,38.07113432377681,60.72715447755823,27.70007907040969,41.925472003130494,19.345560448349566,102.65262648068872,67.74239855075322,47.04563951875926,artifact_row+artifact_row,404.1,True,True,False,23,404.1,8.0,9.0,5.0,3.0,8.0
00-0031057,2014,RB,26.5,artifact_row,26.5,2.409090909090909,11,22.0,1,True,2014.0,4.0,117.0,1.0,,1,0,46.3712980489678,13.615182990284556,46.436422828752946,9.906236104802383,35.23730958477684,6.9184527919198855,81.67373241352979,46.3712980489678,16.824688896722268,artifact_row+no_record_zero,23.1,False,True,True,23,23.1,14.0,15.0,15.0,13.0,17.0
00-0031062,2014,RB,8.3,artifact_row,11.1,3.7,3,22.0,1,True,2014.0,4.0,130.0,1.0,,1,0,32.944716156566564,5.702963441213531,30.90167782489135,4.149404557105904,24.63055859040519,2.8979179618985182,55.53223641529654,32.944716156566564,7.047322519004423,artifact_row+artifact_row,288.70000000000005,True,True,False,23,288.70000000000005,19.0,22.0,24.0,15.0,23.0
00-0031066,2014,RB,70.6,artifact_row,70.6,5.883333333333333,12,23.0,1,True,2014.0,4.0,138.0,1.0,,1,0,72.41529704779909,36.27290260807885,65.57184820621305,26.39170826411503,47.95893213376935,18.43180253243562,113.5307803399824,72.41529704779909,44.82351079655065,artifact_row+no_record_zero,4.0,False,True,True,23,4.0,6.0,7.0,7.0,16.0,9.0
00-0031075,2014,RB,83.5,artifact_row,103.1,6.4437500000000005,16,23.0,1,True,2014.0,6.0,181.0,1.0,,1,0,87.63307351979155,52.97076853955991,83.81930139393145,38.54086575113683,61.86311260954262,26.916697465922272,145.68241400347407,87.63307351979155,65.4575632170591,artifact_row+artifact_row,82.1,False,True,False,23,82.1,3.0,2.0,3.0,22.5,3.0
00-0031243,2014,RB,21.2,artifact_row,21.2,4.24,5,22.0,1,True,2014.0,7.0,222.0,1.0,,1,0,43.14005715081722,10.892146392227644,39.40326415675478,7.924988883841908,30.697712976035476,5.534762233535909,70.10097713279026,43.14005715081722,13.459751117377817,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,16.0,16.0,16.0,32.0,19.0
00-0031285,2014,RB,83.7,artifact_row,87.3,5.45625,16,22.0,1,True,2014.0,4.0,103.0,1.0,,1,0,84.13349693990584,44.85303679440912,83.17132020490327,32.63450611129238,63.50363514476953,22.79173315979645,146.6749553496728,84.13349693990584,55.42623927108883,artifact_row+artifact_row,429.8,True,True,False,23,429.8,2.0,5.0,2.0,11.0,5.0
00-0031375,2014,RB,94.1,artifact_row,112.7,8.05,14,23.0,1,True,2014.0,3.0,94.0,1.0,,1,0,96.2900202662015,57.90306124547432,89.02178628664151,42.12953996268788,66.27727499014716,29.4230048924291,155.29906127678868,96.2900202662015,71.55254485511698,artifact_row+artifact_row,191.6,True,True,False,23,191.6,1.0,1.0,1.0,9.0,2.0
00-0031390,2014,RB,46.0,artifact_row,60.5,7.5625,8,24.0,1,True,2014.0,3.0,69.0,1.0,,1,0,67.92112268010091,31.083719657064744,53.723098491059915,22.61612393737903,37.58261521788872,15.794958260798229,91.30571370894864,67.92112268010091,38.411082198177255,artifact_row+artifact_row,140.7,False,True,False,23,140.7,13.0,8.0,12.0,7.0,11.0
00-0031392,2014,RB,9.5,artifact_row,17.700000000000003,1.6090909090909091,11,23.0,1,True,2014.0,3.0,97.0,1.0,,1,0,35.234373220752815,9.093914676529684,34.81391489973618,6.616618077547254,24.877584510802276,4.621004317621962,59.691499410538455,35.234373220752815,11.237622395169215,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,18.0,21.0,22.0,10.0,21.0
00-0029218,2014,TE,0.0,no_record_zero,0.0,,0,25.0,2,True,2012.0,7.0,240.0,3.0,,3,1,5.671035260115258,0.0,4.462835537252373,0.0,3.714423380340384,0.0,8.177258917592757,5.671035260115258,0.0,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,27.0,24.0,25.0,27.0,25.0
00-0029275,2014,TE,41.6,artifact_row,41.6,4.16,10,24.0,3,True,2012.0,4.0,110.0,3.0,,3,0,47.0624412925295,24.096713375772296,47.412682493335595,19.120338282853535,38.12134159890185,15.19395357560795,85.53402409223744,47.0624412925295,34.31429185846149,artifact_row+no_record_zero,54.4,False,True,True,23,54.4,10.0,10.0,10.0,13.0,10.0
00-0029276,2014,TE,0.0,no_record_zero,0.0,,0,26.0,2,True,2012.0,4.0,111.0,3.0,,3,1,3.950430760032258,0.0,2.4639795919320586,0.0,1.4344893202664104,0.0,3.898468912198469,3.950430760032258,0.0,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,28.0,25.0,25.0,14.0,25.0
00-0029281,2014,TE,16.0,artifact_row,16.0,1.7777777777777777,9,26.0,1,True,2012.0,4.0,127.0,3.0,,3,2,23.98535591909723,9.267966682989345,20.08519741832055,7.353976262635976,13.596371193413,5.84382829831075,33.68156861173355,23.98535591909723,13.197804560946725,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,18.0,16.0,14.0,17.0,14.0
00-0029308,2014,TE,0.0,artifact_row,0.0,0.0,2,24.0,2,True,2012.0,7.0,232.0,3.0,,3,1,1.2162312155446684,0.0,6.5702232656195925,0.0,5.908852608491583,0.0,12.479075874111174,1.2162312155446684,0.0,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,23.0,26.0,25.0,26.0,25.0
00-0029414,2014,TE,0.0,no_record_zero,0.0,,0,23.0,2,True,2012.0,4.0,116.0,3.0,,3,1,7.346741947350678,0.0,7.301476690091246,0.0,5.387196764329114,0.0,12.68867345442036,7.346741947350678,0.0,artifact_row+artifact_row,7.3,False,True,False,23,7.3,21.0,21.0,25.0,15.0,25.0
00-0029587,2014,TE,42.5,artifact_row,47.8,3.4142857142857146,14,26.0,3,True,2012.0,4.0,128.0,3.0,,3,0,44.665010780082895,27.688050465430663,34.34124415594214,21.970004084624986,22.92395248810367,17.458437041203364,57.265196644045815,44.665010780082895,39.42844112582835,artifact_row+artifact_row,69.0,False,True,False,23,69.0,13.0,11.0,9.0,18.0,8.0
00-0029590,2014,TE,4.4,artifact_row,4.4,1.4666666666666668,3,25.0,3,True,2012.0,5.0,145.0,3.0,,3,0,0.1193112952971046,2.5486908378220696,5.689373743429849,2.0223434722248936,2.9265380393621108,1.6070527820354563,8.61591178279196,0.1193112952971046,3.62939625426035,no_record_zero+no_record_zero,0.0,False,False,True,23,0.0,25.0,28.0,20.0,20.0,20.0
