origin,position,horizon,ordering,n,spearman,all_tied,n_positive,auc,picks,hits,points_captured,misses,busts,boundary_ties
2016,RB,23,rank_draft,30,0.30366410729198556,False,5,0.784,2,2.0,833.86,3.0,0.0,0
2016,TE,23,rank_draft,30,0.06961908593527238,False,4,0.5288461538461539,2,0.0,26.0,4.0,1.0,0
2016,WR,23,rank_draft,54,0.5622654671806968,False,8,0.8233695652173914,2,0.0,22.6,8.0,0.0,0
2017,QB,23,rank_draft,10,0.03728333758674101,False,1,1.0,2,1.0,650.38,0.0,1.0,0
2017,RB,23,rank_draft,34,0.4897706461031328,False,7,0.701058201058201,2,1.0,647.2,6.0,0.0,0
2017,TE,23,rank_draft,33,0.3443795816997617,False,4,0.5344827586206896,2,0.0,242.29999999999998,4.0,0.0,0
2017,WR,23,rank_draft,59,0.3199473953657547,False,12,0.7650709219858156,2,1.5,432.4,10.5,0.0,2
2018,QB,23,rank_draft,8,-0.08247860988423225,False,0,,2,0.0,0.0,0.0,2.0,0
2018,RB,23,rank_draft,37,0.49705922976340217,False,3,0.8186274509803921,2,1.0,349.9,2.0,0.0,0
2018,TE,23,rank_draft,25,0.5661435573927792,False,6,0.7456140350877193,2,2.0,506.5,4.0,0.0,0
2018,WR,23,rank_draft,48,0.05458438720998289,False,5,0.7,2,0.0,44.7,5.0,1.0,0
2019,QB,23,rank_draft,9,0.03651483716701107,False,0,,2,0.0,0.0,0.0,2.0,0
2019,RB,23,rank_draft,39,0.39228991883622194,False,8,0.7419354838709677,2,0.0,148.9,8.0,1.0,0
2019,TE,23,rank_draft,30,0.4698688098405687,False,5,0.708,2,2.0,519.9000000000001,3.0,0.0,0
2019,WR,23,rank_draft,46,0.034085192065577585,False,9,0.4159159159159159,2,0.0,46.6,9.0,0.0,0
2020,QB,23,rank_draft,10,0.29081003317657983,False,0,,2,0.0,0.0,0.0,2.0,0
2020,RB,23,rank_draft,39,0.487100378818424,False,5,0.8941176470588236,2,1.0,227.6,4.0,0.0,0
2020,TE,23,rank_draft,33,0.34643429187005753,False,3,0.6666666666666666,2,1.0,328.5,2.0,0.0,0
2020,WR,23,rank_draft,50,0.152189182723029,False,6,0.5852272727272727,2,0.0,45.2,6.0,1.0,0
2021,QB,23,rank_draft,14,0.46989135818897926,False,1,0.9230769230769231,2,1.0,532.0,0.0,0.0,0
2021,RB,23,rank_draft,34,0.5382872686308666,False,3,0.6666666666666666,2,0.0,137.8,3.0,0.0,0
2021,TE,23,rank_draft,32,0.10662399170158317,False,1,0.22580645161290322,2,0.0,33.5,1.0,1.0,0
2021,WR,23,rank_draft,55,0.33161306253359424,False,4,0.6593137254901961,2,0.0,52.6,4.0,1.0,0
2022,QB,23,rank_draft,13,0.280299997228876,False,1,0.9166666666666666,2,1.0,471.82,0.0,0.0,0
2022,RB,23,rank_draft,35,0.397426522567285,False,3,0.5416666666666666,2,0.0,82.30000000000001,3.0,0.0,0
2022,TE,23,rank_draft,34,0.28712647121914,False,6,0.5357142857142857,2,1.0,528.1,5.0,0.0,0
2022,WR,23,rank_draft,58,0.3244632204308029,False,7,0.6372549019607843,2,1.0,409.3,6.0,1.0,0
2014,QB,23,rank_persistence,7,-0.14824986333222023,False,3,0.4166666666666667,2,1.0,108.30000000000001,2.0,1.0,0
2014,RB,23,rank_persistence,36,0.3348134302865995,False,12,0.6527777777777778,2,1.0,191.6,11.0,1.0,0
2014,TE,23,rank_persistence,28,0.590601457998996,False,3,0.7066666666666667,2,0.0,91.5,3.0,0.0,0
