player_id,origin,position,origin_points,origin_label_source,total_points_t,ppg_t,games_t,age,observed_history_seasons,draft_visible,draft_season,draft_round,draft_pick,nfl_years_since_draft,exclusion_reason,prior_seasons_checked,prior_no_record_seasons,policy_1,persistence_1,future_sum,future_year1,persistence_sum,label_sources,realized_sum,contributor_any,appeared,any_no_record,horizon,realized_points,rank_future_sum,rank_future_year1,rank_origin_points,rank_draft,rank_persistence
00-0028053,2011,RB,84.10000000000001,artifact_row,102.5,5.694444444444445,18,23.0,1,True,2011.0,4.0,115.0,1.0,,1,0,93.49788426628572,53.46743288658239,93.49788426628572,93.49788426628572,53.46743288658239,artifact_row,64.10000000000001,False,True,False,1,64.10000000000001,1.0,1.0,1.0,7.0,1.0
00-0028057,2011,RB,48.4,artifact_row,50.5,3.3666666666666667,15,24.0,1,True,2011.0,4.0,119.0,1.0,,1,0,55.75321744382905,26.342491324608883,55.75321744382905,55.75321744382905,26.342491324608883,artifact_row,32.5,False,True,False,1,32.5,10.0,10.0,9.0,8.0,10.0
00-0028062,2011,RB,8.9,artifact_row,8.9,1.1125,8,23.0,1,True,2011.0,4.0,124.0,1.0,,1,0,21.36927840843722,4.642538075030081,21.36927840843722,21.36927840843722,4.642538075030081,artifact_row,0.0,False,True,False,1,0.0,20.0,20.0,19.0,9.0,20.0
00-0028063,2011,RB,11.8,artifact_row,11.8,1.3111111111111111,9,23.0,1,True,2011.0,4.0,125.0,1.0,,1,0,25.31639286170819,6.15527520060168,25.31639286170819,25.31639286170819,6.15527520060168,artifact_row,5.2,False,True,False,1,5.2,18.0,18.0,17.0,10.0,18.0
00-0028064,2011,RB,3.8,artifact_row,3.8,1.9,2,23.0,1,True,2011.0,4.0,126.0,1.0,,1,0,11.064774417434464,1.9822072679903713,11.064774417434464,11.064774417434464,1.9822072679903713,artifact_row,89.9,True,True,False,1,89.9,26.0,26.0,22.0,11.0,22.0
00-0028068,2011,RB,12.3,artifact_row,15.6,1.56,10,22.0,1,True,2011.0,4.0,130.0,1.0,,1,0,34.26669081040418,8.13748246859205,34.26669081040418,34.26669081040418,8.13748246859205,artifact_row,22.8,False,True,False,1,22.8,16.0,16.0,16.0,13.0,16.0
00-0028071,2011,RB,4.5,artifact_row,4.5,0.6428571428571429,7,23.0,1,True,2011.0,5.0,133.0,1.0,,1,0,16.081713437040296,2.347350712093861,16.081713437040296,16.081713437040296,2.347350712093861,artifact_row,3.4000000000000004,False,True,False,1,3.4000000000000004,22.0,22.0,21.0,14.0,21.0
00-0028083,2011,RB,62.400000000000006,artifact_row,76.10000000000001,4.476470588235294,17,21.0,1,True,2011.0,5.0,145.0,1.0,,1,0,86.76451832145217,39.69630870896507,86.76451832145217,86.76451832145217,39.69630870896507,artifact_row,125.6,True,True,False,1,125.6,2.0,2.0,5.0,16.0,5.0
00-0028087,2011,RB,5.1000000000000005,artifact_row,16.900000000000002,1.3000000000000005,13,21.0,1,True,2011.0,5.0,149.0,1.0,,1,0,44.97944587624748,8.815606007641389,44.97944587624748,44.97944587624748,8.815606007641389,artifact_row,15.8,False,True,False,1,15.8,13.0,13.0,20.0,17.0,15.0
00-0028115,2011,RB,28.9,artifact_row,48.60000000000001,8.100000000000001,6,24.0,1,True,2011.0,6.0,177.0,1.0,,1,0,55.34032968546393,25.3513876906137,55.34032968546393,55.34032968546393,25.3513876906137,artifact_row,45.8,False,True,False,1,45.8,11.0,11.0,13.0,20.0,11.0
