player_id,season,week,season_type,position,team,fantasy_points_ppr
,2011,14,REG,,CLE,0.0
,2011,15,REG,,ATL,0.0
,2011,16,REG,,IND,0.0
,2011,17,REG,,GB,0.0
,2011,18,POST,,HOU,0.0
,2011,19,POST,,NO,0.0
,2011,20,POST,,BAL,0.0
,2011,21,POST,,NYG,0.0
,2012,1,REG,,NYG,0.0
,2012,2,REG,,GB,0.0
,2012,3,REG,,NYG,0.0
,2012,4,REG,,CLE,0.0
,2012,5,REG,,LA,0.0
,2012,6,REG,,TEN,3.1
,2012,7,REG,,SF,0.0
,2012,8,REG,,MIN,0.0
,2012,9,REG,,LAC,0.0
,2012,10,REG,,JAX,0.0
,2012,11,REG,,MIA,0.0
,2012,12,REG,,DET,0.0
,2012,13,REG,,ATL,0.0
,2012,14,REG,,DEN,0.0
,2012,15,REG,,CIN,0.0
,2012,16,REG,,DET,0.0
,2012,17,REG,,ATL,0.0
,2012,18,POST,,HOU,0.0
,2012,19,POST,,BAL,0.0
,2012,20,POST,,ATL,0.0
,2012,21,POST,,SF,0.0
,2013,1,REG,,BAL,0.0
,2013,2,REG,,NE,0.0
,2013,3,REG,,KC,0.0
,2013,4,REG,,LA,0.0
,2013,5,REG,,CLE,0.0
,2013,6,REG,,NYG,0.0
,2013,7,REG,,ARI,0.0
,2013,8,REG,,TB,0.0
,2013,9,REG,,MIA,0.0
,2013,10,REG,,MIN,0.0
,2013,11,REG,,TEN,0.0
,2013,12,REG,,NO,0.0
,2013,13,REG,,DET,0.0
,2013,14,REG,,JAX,0.0
,2013,15,REG,,DEN,0.0
,2013,16,REG,,MIA,0.0
,2013,17,REG,,ATL,0.0
,2013,18,POST,,KC,0.0
,2013,19,POST,,NO,0.0
,2013,20,POST,,NE,0.0
,2013,21,POST,,SEA,0.0
,2014,1,REG,,GB,0.0
,2014,2,REG,,PIT,0.0
,2014,3,REG,,ATL,0.0
,2014,4,REG,,NYG,0.0
,2014,5,REG,,GB,0.0
,2014,6,REG,,HOU,0.0
,2014,7,REG,,NE,0.0
,2014,8,REG,,DEN,0.0
,2014,9,REG,,NO,0.0
,2014,10,REG,,CIN,0.0
,2014,11,REG,,MIA,0.0
,2014,12,REG,,KC,0.0
,2014,13,REG,,DET,0.0
,2014,14,REG,,DAL,0.0
,2014,15,REG,,ARI,0.0
,2014,16,REG,,TEN,0.0
,2014,17,REG,,BAL,0.0
,2014,18,POST,,ARI,0.0
,2014,19,POST,,BAL,0.0
,2014,20,POST,,GB,0.0
,2014,21,POST,,NE,0.0
,2015,1,REG,,PIT,0.0
,2015,2,REG,,DEN,0.0
,2015,3,REG,,WAS,0.0
,2015,4,REG,,PIT,0.0
,2015,5,REG,,HOU,0.0
,2015,6,REG,,NO,0.0
,2015,7,REG,,SF,0.0
,2015,8,REG,,NE,0.0
,2015,9,REG,,CLE,0.0
,2015,10,REG,,NYJ,0.0
,2015,11,REG,,TEN,0.0
,2015,12,REG,,PHI,0.0
,2015,13,REG,,GB,0.0
,2015,14,REG,,ARI,0.0
,2015,15,REG,,LA,0.0
,2015,16,REG,,LV,0.0
,2015,17,REG,,NO,0.0
,2015,18,POST,,HOU,0.0
,2015,19,POST,,NE,0.0
,2015,20,POST,,NE,0.0
,2015,21,POST,,DEN,0.0
,2016,1,REG,,DEN,0.0
