gsis_id,name,draft_season,origin_year,draft_position,pick,round,log_pick,birth_date,age_at_origin,first_full_reg_season,window_absent_through_draft_season,appear_1,points_1,games_1,label_source_1,appear_2,points_2,games_2,label_source_2,appear_3,points_3,games_3,label_source_3,appear_4,points_4,games_4,label_source_4,appear_5,points_5,games_5,label_source_5,candidate_p_appear,candidate_e_points_given_appear,candidate_e_games_given_appear,candidate_e_points,candidate_e_games,candidate_supported,b1_p_appear,b1_e_points_given_appear,b1_e_games_given_appear,b1_e_points,b1_e_games,b1_supported,b2_p_appear,b2_e_points_given_appear,b2_e_games_given_appear,b2_e_points,b2_e_games,b2_supported,origin,horizon
00-0034409,Dylan Cantrell,2018,2019,WR,191,6,5.25227342804663,1994-06-29,25.17453798767967,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.310518180105522,17.76938104537288,5.4761598287416104,5.5177158638107455,1.700447183987812,True,0.41379310344827586,23.00208333333333,5.8125,9.518103448275863,2.4051724137931036,True,0.3806756826407973,17.76938104537288,5.4761598287416104,6.764371259551766,2.084640881056324,True,2019,1
00-0034412,Luke Falk,2018,2019,QB,199,6,5.293304824724492,1994-12-28,24.67624914442163,2019.0,True,1.0,8.64,3.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.24487608575992958,3.2623082415387543,2.8721345708026065,0.7988612727303691,0.7033170714739176,True,0.32558139534883723,18.808571428571433,3.857142857142857,6.123720930232558,1.255813953488372,True,0.25424912455068244,3.2623082415387543,2.8721345708026065,0.8294390144257046,0.7302377002183127,True,2019,1
00-0034416,Tanner Lee,2018,2019,QB,203,6,5.313205979041787,1995-02-14,24.54483230663929,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.24513190992051187,2.747255332406411,2.839234280579688,0.6734399466720942,0.6959869219102894,True,0.32558139534883723,18.808571428571433,3.857142857142857,6.123720930232558,1.255813953488372,True,0.2476543663744428,2.747255332406411,2.839234280579688,0.6803697786159189,0.7031487667455596,True,2019,1
00-0034418,Cedrick Wilson Jr.,2018,2019,WR,208,6,5.337538079701318,1995-11-20,23.78097193702943,2019.0,True,1.0,9.6,4.0,artifact,1.0,50.32000000000001,12.0,artifact,1.0,118.92,13.0,artifact,1.0,26.4,13.0,artifact,1.0,66.2,10.0,artifact,0.36536754129439997,15.562684580397562,5.33520158378406,5.686099801080128,1.9493094849771706,True,0.41379310344827586,23.00208333333333,5.8125,9.518103448275863,2.4051724137931036,True,0.34592532194575076,15.562684580397562,5.33520158378406,5.383526673814198,1.8455813255159803,True,2019,1
00-0034419,Braxton Berrios,2018,2019,WR,210,6,5.3471075307174685,1995-10-06,23.904175222450377,2019.0,True,1.0,15.4,15.0,artifact,1.0,90.7,15.0,artifact,1.0,121.1,16.0,artifact,1.0,57.68,16.0,artifact,1.0,55.0,15.0,artifact,0.35314175263177755,15.315021881737689,5.319381510702583,5.408373668910872,1.8784957096065829,True,0.41379310344827586,23.00208333333333,5.8125,9.518103448275863,2.4051724137931036,True,0.34211818012406336,15.315021881737689,5.319381510702583,5.239547414740306,1.8198571218271586,True,2019,1
00-0034423,Danny Etling,2018,2019,QB,219,7,5.389071729816501,1994-07-22,25.111567419575632,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.23026411308268008,0.7838076339948614,2.7138141577731156,0.1804827696692607,0.6248940101108469,True,0.32558139534883723,18.808571428571433,3.857142857142857,6.123720930232558,1.255813953488372,True,0.25633685416591073,0.7838076339948614,2.7138141577731156,0.20091878316946832,0.695650583994471,True,2019,1
00-0034732,Alex McGough,2018,2019,QB,220,7,5.393627546352362,1995-11-19,23.783709787816566,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.3032100920343794,0.665900575798279,2.7062825501164713,0.2019077748735424,0.8205721810918502,True,0.32558139534883723,18.808571428571433,3.857142857142857,6.123720930232558,1.255813953488372,True,0.2548087881070584,0.665900575798279,2.7062825501164713,0.16967731871895186,0.6895845768704577,True,2019,1
00-0034432,Bo Scarbrough,2018,2019,RB,236,7,5.4638318050256105,1996-09-29,22.921286789869953,2019.0,True,1.0,39.0,5.0,artifact,1.0,3.1,1.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.38004988974143294,24.244228853533592,6.490682894510259,9.214016502651509,2.466783318405229,True,0.3880597014925373,40.543076923076924,7.538461538461538,15.733134328358211,2.925373134328358,True,0.30052317735420125,24.244228853533592,6.490682894510259,7.285952687566319,1.950600646656787,True,2019,1
00-0034433,Nick Bawden,2018,2019,RB,237,7,5.4680601411351315,1996-06-22,23.19233401779603,2019.0,True,1.0,5.7,7.0,artifact,0.0,0.0,0.0,convention_zero,1.0,3.0,1.0,artifact,0.0,0.0,0.0,convention_zero,1.0,11.5,6.0,artifact,0.3600138603674828,24.134797170362056,6.483692672589193,8.688861498488244,2.334219228495197,True,0.3880597014925373,40.543076923076924,7.538461538461538,15.733134328358211,2.925373134328358,True,0.29895854066885924,24.134797170362056,6.483692672589193,7.215303741390354,1.938355299542641,True,2019,1
00-0034438,Logan Woodside,2018,2019,QB,249,7,5.517452896464707,1995-01-27,24.594113620807665,2020.0,True,0.0,0.0,0.0,convention_zero,1.0,1.28,5.0,artifact,1.0,-0.6000000000000001,4.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,artifact,0.21531124446988675,-2.5387681475767323,2.501576336059819,-0.5466253292752553,0.5386175140534593,True,0.32558139534883723,18.808571428571433,3.857142857142857,6.123720930232558,1.255813953488372,True,0.21561165420386996,-2.5387681475767323,2.501576336059819,-0.5473879999391139,0.5393690119351137,True,2019,1
00-0034439,Ryan Izzo,2018,2019,TE,250,7,5.521460917862246,1995-12-21,23.696098562628336,2019.0,True,1.0,23.4,6.0,artifact,1.0,30.9,10.0,artifact,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.28465543909126223,4.709456841282968,3.849648454550313,1.340572505036752,1.0958233711770184,True,0.32727272727272727,18.41111111111111,4.722222222222222,6.025454545454546,1.5454545454545454,True,0.23986920928921285,4.709456841282968,3.849648454550313,1.1296536887002195,0.9234121308344239,True,2019,1
00-0034442,Austin Proehl,2018,2019,WR,255,7,5.541263545158426,1995-10-11,23.890485968514717,,True,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.0,0.0,0.0,convention_zero,0.3236561702124398,10.290156566440274,4.998405695843372,3.3304726651804484,1.617764844684711,True,0.41379310344827586,23.00208333333333,5.8125,9.518103448275863,2.4051724137931036,True,0.30654050838068414,10.290156566440274,4.998405695843372,3.1543498251934365,1.5322138230967346,True,2019,1
